size,avg_b,avg_g,avg_r,avg_h,avg_s,avg_v,std_b,std_g,std_r,std_h,std_s,std_v,blob_count,fire
176141.3035,104.9473539,135.5339881,158.5686733,35.12966189,35.01284479,62.18409761,60.32397048,50.62531015,43.61897231,211.4866549,29.38991614,23.79450522,305,0
497.8159233,67.79673861,82.26321343,114.382542,25.22771187,40.98763779,44.85589881,30.23503968,32.22943023,30.48755685,107.4095581,16.37798917,13.14816349,125,0
8833.302812,36.06951737,52.29536791,64.59357693,33.36446199,44.10065762,25.33081448,15.0787781,15.58035048,16.30778706,86.75947735,10.01124007,6.483293273,227,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43903.89209,42.55922849,62.17668785,79.24652242,33.87327116,45.71615247,31.07706762,23.73501829,25.26011727,29.93310204,245.5951908,19.89257029,11.83823743,559,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1034.225648,41.49608836,50.26077619,62.99279031,26.12109262,34.35747896,24.70305502,10.19316473,10.16543206,11.10632147,118.0896617,12.83989027,4.444553413,122,0
173.7874208,76.20039005,95.01560215,108.4224768,33.94916715,29.50211618,42.51861837,26.60935215,28.12476011,29.31015027,110.355167,10.12939405,11.55823437,147,0
169005.8285,123.0698782,136.8172766,152.2162559,36.82556737,21.26082258,60.05138533,47.65191929,46.23924402,46.62394548,291.3115269,6.532795434,18.97182158,180,0
72276.26727,7.908227753,22.64525715,127.481319,36.59817537,94.35983456,49.99267413,14.54378259,35.19396205,54.40229009,67.00307533,74.35636561,21.64653474,548,0
12850.05271,99.96448293,119.1286814,140.6462935,29.04397069,28.38291541,55.15540922,30.68654992,29.60538559,28.47980626,140.7862455,14.17873898,12.44768568,41,0
85.40063425,106.7621564,140.1971459,157.5581395,38.8779423,32.68637459,61.7875057,32.96892285,35.13524158,36.66562307,115.5270524,16.29485868,14.6734125,132,0
141831.7434,78.9474009,101.5107875,118.5942442,36.91752864,33.534283,46.61921721,45.70365914,51.91176443,56.02733544,52.71574857,20.67976952,22.25856846,344,0
1143.762276,75.31312263,86.50857143,108.0428824,19.99588356,30.297535,42.36975781,26.76347531,28.5959861,30.33609517,158.4526768,12.13892805,12.04762742,392,0
6334.299631,77.14216651,103.7162195,123.6671156,34.41060203,41.37958817,48.49690807,34.84404581,38.34759933,40.31176024,84.30101169,23.8943936,16.52878482,193,0
11172.57203,66.4965804,87.36024332,119.4067258,27.647118,44.88235166,46.82616697,40.47712353,43.01244659,46.71090461,50.92804118,14.71240309,18.45718199,485,0
159433.1535,105.6215953,132.926821,158.8761459,30.95775135,34.46632569,62.31391131,49.21815281,48.80226649,48.45382832,245.7802281,4.557643586,19.43514507,475,0
192556.405,82.14566366,118.4198846,152.8238655,31.30689872,47.00894381,59.93092767,57.90053018,57.97792504,58.92866051,22.78538677,3.769174774,23.24818163,60,0
5754.096015,50.94660137,128.6337533,148.8890556,47.17447009,69.17501131,58.38786496,18.7140951,31.16917053,34.50373993,78.98331399,42.12035152,13.55934554,308,0
19841.08099,107.7731398,138.8363022,158.5724894,36.36741402,32.25624089,62.18528998,25.85559756,27.79861212,29.25941933,51.9343217,14.64215733,11.57472606,78,0
5010.003642,71.61000095,86.3258701,113.2895462,22.51533104,36.69361457,44.42727302,32.02472291,37.22917558,38.06707998,86.58992158,19.25609664,15.41383969,392,0
194734.4734,67.08064621,111.7355913,163.566266,35.71195451,59.06268247,64.15043537,44.65781575,44.89277021,52.15469105,334.728851,15.6593474,20.5765769,192,0
22661.64241,16.60057515,42.21861662,81.42433782,23.61504524,79.7087671,31.93111287,23.55686742,28.49218607,32.24526261,44.9685702,28.81485608,12.71858549,126,0
46.15331808,53.88787185,77.87643021,91.43935927,38.57723657,40.84905656,35.85857226,12.99839769,15.0656213,17.27163862,76.54161666,26.27619625,6.847971789,28,0
167119.6181,61.63327441,82.9627852,97.42471266,36.09088543,36.47426891,38.20578429,38.05948127,43.84099742,49.00247027,38.35875722,24.49018966,19.32018925,350,0
4306.119329,94.75723208,151.2377822,250.9674556,23.21850139,62.22300679,98.41861005,47.19951153,31.89532915,14.82622896,207.2208612,68.63204378,18.54484712,35,0
127991.7229,34.42527922,48.03623746,106.492271,42.94741438,68.78973963,41.76167489,23.69629184,29.0320172,43.28188421,22.26836351,44.82612141,16.9814258,286,0
35550.12405,97.8590579,128.2990638,149.4064536,35.68537467,34.82648461,58.59076613,31.27591639,29.20384721,26.31102175,200.9250601,14.81863277,12.28129054,49,0
185763.8398,45.13552629,78.78057465,107.1525748,32.20280533,59.10602865,42.02061755,36.63201062,43.03145098,45.21801472,49.11651429,20.74083327,17.79089071,363,0
59844.8826,59.86379288,107.9890945,208.0081084,24.42830363,71.44793706,81.57180722,35.51906327,52.12603943,50.76360127,93.41491002,40.6685754,21.41633638,122,0
26840.54434,111.2902385,142.1993768,156.6889921,43.6978794,29.07326461,61.47903861,42.10145925,38.62823542,38.15851092,229.8090274,10.4037417,16.53916377,150,0
171502.456,43.27220975,98.06687257,136.3362426,36.8659202,68.97046343,53.53838942,44.91414597,51.29107511,57.40207605,48.38298678,24.94428486,22.65179757,192,0
1802.29002,62.1763236,134.5110105,161.840075,43.23476331,61.62511506,63.46669606,38.70177919,44.27245203,44.85864589,63.95159395,14.43810338,17.84123872,31,0
12752.55672,46.023668,63.93442037,78.59221966,35.28401063,39.94588998,30.8204783,19.74439615,24.69143725,29.00927457,84.36092286,27.48652608,11.45015185,533,0
17252.6671,66.96027937,87.75933513,109.0280542,29.68028762,38.74693161,42.75609967,26.56336779,30.57911911,33.470443,40.50164917,20.83243644,13.13111729,62,0
